"NUMBER OF BIRTHS WITH AGE-SPECIFIC FERTILITY RATES PER 1,000 FEMALES AGED 18-19, BY RACE,",,,,,,,,,,,,,,,,,,,
"FOR COUNTIES OF TENNESSEE, RESIDENT DATA, 2018",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,TOTAL,,WHITE,,BLACK,,,,TOTAL,,WHITE,,BLACK,,,,,,
COUNTY,NUMBER,RATE,NUMBER,RATE,NUMBER,RATE,,COUNTY,NUMBER,RATE,NUMBER,RATE,NUMBER,RATE,,,,,
,,,,,,,,,,,,,,,,,,,
STATE,"4,064",48.5,"2,899",46.8,"1,085",63.4,,LAKE,5,*,..,*,..,*,,,,,
ANDERSON,51,61.9,..,*,..,*,,LAUDERDALE,22,73.1,10,59.9,12,99.2,,,,,
BEDFORD,51,86.9,..,*,..,*,,LAWRENCE,31,58.1,31,61.3,-,-,,,,,
BENTON,10,60.2,..,*,..,*,,LEWIS,14,107.7,..,*,-,-,,,,,
BLEDSOE,11,90.2,..,*,-,-,,LINCOLN,18,50.3,..,*,..,*,,,,,
BLOUNT,79,51.1,72,50.8,5,*,,LOUDON,23,45.5,..,*,..,*,,,,,
BRADLEY,80,54.1,73,56.0,7,*,,MCMINN,47,73.3,..,*,..,*,,,,,
CAMPBELL,32,74.4,32,76.4,-,-,,MCNAIRY,15,52.4,15,58.8,-,-,,,,,
CANNON,7,44.3,7,46.4,-,-,,MACON,31,106.9,31,113.1,-,-,,,,,
CARROLL,18,50.1,17,58.4,1,*,,MADISON,76,51.1,31,40.7,45,66.1,,,,,
CARTER,29,50.3,29,53.7,-,-,,MARION,31,96.9,31,106.2,-,-,,,,,
CHEATHAM,27,56.7,25,55.1,-,-,,MARSHALL,20,47.5,..,*,..,*,,,,,
CHESTER,11,35.3,11,40.4,-,-,,MAURY,42,41.2,34,42.3,7,47.3,,,,,
CLAIBORNE,12,31.3,12,34.2,-,-,,MEIGS,16,108.8,16,114.3,-,-,,,,,
CLAY,3,*,3,*,-,-,,MONROE,42,83.7,41,88.0,-,-,,,,,
COCKE,31,81.8,31,87.3,-,-,,MONTGOMERY,140,51.2,95,52.1,39,58.6,,,,,
COFFEE,64,98.3,..,*,..,*,,MOORE,2,*,2,*,-,-,,,,,
CROCKETT,18,102.9,..,*,..,*,,MORGAN,17,74.9,17,77.6,-,-,,,,,
CUMBERLAND,42,81.2,..,*,..,*,,OBION,16,45.8,..,*,..,*,,,,,
DAVIDSON,369,45.0,197,43.9,148,51.2,,OVERTON,16,64.8,16,66.9,-,-,,,,,
DECATUR,3,23.4,3,25.6,-,-,,PERRY,6,*,..,*,..,*,,,,,
DEKALB,11,52.4,..,*,..,*,,PICKETT,3,*,..,*,..,*,,,,,
DICKSON,36,60.7,..,*,..,*,,POLK,11,59.5,..,*,-,-,,,,,
