StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q6A1,Q6A3,Q6A3_1_TEXT,Q138,Q138_4_TEXT,Q6A2,Q41_1,Q41_2,Q78,Q78_9_TEXT,Q1F4,Q4A1,Q40_1,Q40_2,Q40_3,Q40_4,Q40_5,Q5A1,HH1,Q1A1,Q122,Q1A2,Q1A2_1_TEXT,Q1A3,Q1A3_3_TEXT,Q1A4a,Q1A4b,Q1A5a,Q1A5a_1_TEXT,Q1A5b,Q1A5b_1_TEXT,Q65,Q65_1_TEXT,Q1B6,Q80,Q80_1_TEXT,Q80_2_TEXT,Q4B1,Q4B1_1_TEXT,Q4D1,Q4D2,Q2,Q3,Q4,Q5,Q6E1a,Q6E1b,Q6E1c,Q6E1d,Q6E1e,Q6E1g,Q1E1,Q1E2a,Q1E2f,Q1C1a,Q131,Q2A1a,Q2A1b,Q2A2,Q2A3,Q2A5,Q2A6,Q5A2,Q141,Q5B1,Q5B2a,Q5B2a_101_TEXT,Q145,Q145_5_TEXT,Q5B3,Q5B3_101_TEXT,Q252,Q252_11_TEXT,Q249,Q250,Q251,Q251_10_TEXT,Q137,Q5B2a_6_TEXT - Actionability,Q5B2a_6_TEXT - Effort,Q5B2a_6_TEXT - Effort Numeric,Q5B2a_6_TEXT - Emotion Intensity,Q5B2a_6_TEXT - Emotion,Q5B2a_6_TEXT - Parent Topics,Q5B2a_6_TEXT - Sentiment Polarity,Q5B2a_6_TEXT - Sentiment Score,Q5B2a_6_TEXT - Sentiment,Q5B2a_6_TEXT - Topic Sentiment Label,Q5B2a_6_TEXT - Topic Sentiment Score,Q5B2a_6_TEXT - Topics,Q5B3_6_TEXT - Actionability,Q5B3_6_TEXT - Effort,Q5B3_6_TEXT - Effort Numeric,Q5B3_6_TEXT - Emotion Intensity,Q5B3_6_TEXT - Emotion,Q5B3_6_TEXT - Parent Topics,Q5B3_6_TEXT - Sentiment Polarity,Q5B3_6_TEXT - Sentiment Score,Q5B3_6_TEXT - Sentiment,Q5B3_6_TEXT - Topic Sentiment Label,Q5B3_6_TEXT - Topic Sentiment Score,Q5B3_6_TEXT - Topics,Q249 - Actionability,Q249 - Effort,Q249 - Effort Numeric,Q249 - Emotion Intensity,Q249 - Emotion,Q249 - Parent Topics,Q249 - Sentiment Polarity,Q249 - Sentiment Score,Q249 - Sentiment,Q249 - Topic Sentiment Label,Q249 - Topic Sentiment Score,Q249 - Topics,Q250 - Actionability,Q250 - Effort,Q250 - Effort Numeric,Q250 - Emotion Intensity,Q250 - Emotion,Q250 - Parent Topics,Q250 - Sentiment Polarity,Q250 - Sentiment Score,Q250 - Sentiment,Q250 - Topic Sentiment Label,Q250 - Topic Sentiment Score,Q250 - Topics,Q251_10_TEXT - Actionability,Q251_10_TEXT - Effort,Q251_10_TEXT - Effort Numeric,Q251_10_TEXT - Emotion Intensity,Q251_10_TEXT - Emotion,Q251_10_TEXT - Parent Topics,Q251_10_TEXT - Sentiment Polarity,Q251_10_TEXT - Sentiment Score,Q251_10_TEXT - Sentiment,Q251_10_TEXT - Topic Sentiment Label,Q251_10_TEXT - Topic Sentiment Score,Q251_10_TEXT - Topics,Q145_5_TEXT - Actionability,Q145_5_TEXT - Effort,Q145_5_TEXT - Effort Numeric,Q145_5_TEXT - Emotion Intensity,Q145_5_TEXT - Emotion,Q145_5_TEXT - Parent Topics,Q145_5_TEXT - Sentiment Polarity,Q145_5_TEXT - Sentiment Score,Q145_5_TEXT - Sentiment,Q145_5_TEXT - Topic Sentiment Label,Q145_5_TEXT - Topic Sentiment Score,Q145_5_TEXT - Topics,Q78_9_TEXT - Actionability,Q78_9_TEXT - Effort,Q78_9_TEXT - Effort Numeric,Q78_9_TEXT - Emotion Intensity,Q78_9_TEXT - Emotion,Q78_9_TEXT - Parent Topics,Q78_9_TEXT - Sentiment Polarity,Q78_9_TEXT - Sentiment Score,Q78_9_TEXT - Sentiment,Q78_9_TEXT - Topic Sentiment Label,Q78_9_TEXT - Topic Sentiment Score,Q78_9_TEXT - Topics,Q4B1_8_TEXT - Actionability,Q4B1_8_TEXT - Effort,Q4B1_8_TEXT - Effort Numeric,Q4B1_8_TEXT - Emotion Intensity,Q4B1_8_TEXT - Emotion,Q4B1_8_TEXT - Parent Topics,Q4B1_8_TEXT - Sentiment Polarity,Q4B1_8_TEXT - Sentiment Score,Q4B1_8_TEXT - Sentiment,Q4B1_8_TEXT - Topic Sentiment Label,Q4B1_8_TEXT - Topic Sentiment Score,Q4B1_8_TEXT - Topics,Q5B2a_6_TEXT - Topic Hierarchy Level 1,Q251_10_TEXT - Topic Hierarchy Level 1,Q249 - Topic Hierarchy Level 1,Q250 - Topic Hierarchy Level 1,Q4B1_8_TEXT - Topic Hierarchy Level 1,Q78_9_TEXT - Topic Hierarchy Level 1,Q5B3_6_TEXT - Topic Hierarchy Level 1,Q145_5_TEXT - Topic Hierarchy Level 1
10/10/24 14:21,10/10/24 14:34,IP Address,174.239.50.76,100,738,TRUE,10/10/24 14:34,R_5xAft5y8Ga5v7pL,,,,,36.0571,-86.6729,qr,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,2,,,No,Never true,Never true,I do not face any challenges,,A vehicle owned by you or a household member,Very good,Never,Never,Never,Never,Never,No,3,No one in the household under age 18,2,Enter your age in years:,65,A woman,,No,White,Enter zip code (5 digit),37335,,,Enter county,Lincoln ,College 1 year to 3 years (Some college or technical school),"Yes, and my first name and email address is:",,Rondalynn rgill113@gmail.com ,"Diabetes / sugar diabetes / prediabetes,High blood pressure / hypertension",,No,No,None,None,Never,Never,No,No,No,No,No,No,No,Very well,Not at all,"$3,000 â€“ $3,999",Not working/unemployed,A place you own,,Yes,"Yes, living/staying here",No,No,,No,No,I have never heard of SNAP or food stamps before.,,,,,,Nutrition education,,Blessed,Because I feel fortunate for what we have,"Healthy and affordable food,Being able to save money and pass it on to my family,Affordable health care",,"Thank you Second Harvest for all the food that helps people, and their employees and volunteers. ",,,,,,,,,,,,,,,,,,,,,,,,,not meaningful message,Neutral,0,Low,Love,,0,0,Neutral,,,Unknown,other,Neutral,0,Low,Joy,,0,1,Positive,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/24 18:31,10/10/24 18:40,IP Address,24.183.217.87,100,509,TRUE,10/10/24 18:40,R_5My6VGB4sENj7zd,,,,,35.4986,-86.0848,qr,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,10,,,Yes,Often true,Often true,"I do not know enough places where I can receive free groceries,I do not have easy access to a car or public transit, I can't afford gas or bus fare, or I have trouble carrying my food home,I feel uncomfortable asking for help.",,"A vehicle owned by you or a household member,Rely on friends or family transportation,Biking or walking",Fair,Every month,Some months,Some months,Every month,1 or 2 times per year,Yes,6,2,2,Enter your age in years:,43,A woman,,No,Prefer not to answer,Enter zip code (5 digit),37355,,,Enter county,Coffee,Grades 9 through 11 (Some high school),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 10:35,10/11/24 10:42,IP Address,107.119.69.15,100,426,TRUE,10/11/24 10:42,R_6rTHyan9NDmbbcL,,,,,36.1671,-86.7861,qr,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,2,,,Yes,Often true,Often true,"I do not know enough places where I can receive free groceries,The places where I can receive free groceries are not open during the times or days that I need,The locations are too far away from me or inconvenient for me to visit,I do not have easy access to a car or public transit, I can't afford gas or bus fare, or I have trouble carrying my food home,It takes too long to wait at the site for free groceries.,The site does not have the type of groceries I want or need.,I feel uncomfortable asking for help.,I feel unwelcome at the sites in my community.,I do not think I am eligible to get free groceries.",,A vehicle owned by you or a household member,Excellent,Every month,Every month,Every month,Every month,Every month,Yes,5,3,No one in the household over age 60,Enter your age in years:,44,A woman,,No,White,Enter zip code (5 digit),37211,,,Enter county,Tennessee ,College 1 year to 3 years (Some college or technical school),"Yes, and my first name and phone number is:",4225440996,,High blood pressure / hypertension,,Yes,No,None,None,Never,Never,Yes,Yes,No,No,No,No,No,Don't know,Don't know,"$2,000 â€“ $2,999",Working for pay full-time (more than 30 hours per week),A place you rent,,Yes,"Yes, living/staying here",Yes,Yes,1 week or less,,,,,,,,,"Help signing up for other assistance programs like public housing or Families First (TANF),None",,Thank you,N/a,"Access to local resources that can help me; like food banks, housing programs, and free/low-cost health clinics",,No,,,,,,,,,,,,,,,,,,,,,,,,,other,Neutral,0,None,None,,0,1,Positive,,,Unknown,not meaningful message,Neutral,0,None,None,,0,0,Neutral,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 12:41,10/11/24 12:57,IP Address,172.225.216.241,100,960,TRUE,10/11/24 12:57,R_7fzCYuW34MMEnwR,,,,,36.1671,-86.7861,qr,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,7,,,No,Often true,Often true,"I do not know enough places where I can receive free groceries,The locations are too far away from me or inconvenient for me to visit,I do not have easy access to a car or public transit, I can't afford gas or bus fare, or I have trouble carrying my food home",,A vehicle owned by you or a household member,Fair,1 or 2 times per year,Some months,Some months,1 or 2 times per year,Every month,Yes,6,3,No one in the household over age 60,Enter your age in years:,29,A woman,,No,"White,Black or African American",Enter zip code (5 digit),37130,,,Enter county,Rutherford,College 1 year to 3 years (Some college or technical school),"Yes, and my first name and phone number is:",Gracie 6152400742,,None,,No,Yes,None,2 to 3 times,Never,Rarely,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not at all,Completely,"$3,000 â€“ $3,999",Working for pay full-time (more than 30 hours per week),Someone elseâ€™s place,Friendâ€™s,No,"No, living somewhere else ",Yes,Yes,2 weeks,,,,,,,,,"Housing/utility assistance or referrals,Financial planning or budgeting assistance",,Surviving ,The economy right now is not built for people who arenâ€™t rich.,"Healthy and affordable food,Being able to save money and pass it on to my family,Better jobs that pay well and offer benefits,Quality education and training,Affordable housing in my community,Access to local resources that can help me; like food banks, housing programs, and free/low-cost health clinics",,I just want to be able to buy a necessity like food or gas without having to double check my bank account to see if I have it. The economy is crashing and I almost am happy because finally we can all start over again rather than middle and lower class people being in survival mode 24/7. ,,,,,,,,,,,,,,,,,,,,,,,,,other,Neutral,0,None,None,,0,1,Positive,,,Unknown,other,Neutral,0,None,None,,0,-1,Negative,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/24 14:19,10/11/24 14:46,IP Address,107.77.236.11,100,1625,TRUE,10/11/24 14:46,R_3htg7bCAhN3D9dL,,,,,37.751,-97.822,qr,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,4,,,Yes,Often true,Often true,I do not know enough places where I can receive free groceries,,A vehicle owned by you or a household member,Poor,Every month,Every month,Every month,Every month,Every month,Don't know,4,1,,Enter your age in years:,49,A woman,,No,White,Enter zip code (5 digit),38251,,,Enter county,Henry,Grades 9 through 11 (Some high school),"Yes, and my first name and phone number is:",Renee,,"Diabetes / sugar diabetes / prediabetes,High blood pressure / hypertension",,No,Yes,None,None,Sometimes,Often,Yes,Yes,Yes,Yes,Yes,Yes,No,Not at all,Not at all,Zero ,Not working/unemployed,A place you own,,Yes,"Yes, living/staying here",No,No,,,,,,,,,,None,,Struggling ,Trying  to get my disability and Trying  to  live life,"Access to local resources that can help me; like food banks, housing programs, and free/low-cost health clinics",,No,,,,,,,,,,,,,,,,,,,,,,,,,other,Hard,-1,Low,Frustration,,0,-1,Negative,,,Unknown,other,Neutral,0,None,None,,0,0,Neutral,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/24 6:34,10/12/24 6:57,IP Address,107.119.69.41,100,1427,TRUE,10/12/24 6:57,R_3ojzRhYcmN7OVD0,,,,,36.1671,-86.7861,qr,ES-ES,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,0,,,No,Often true,Often true,"I do not know enough places where I can receive free groceries,The locations are too far away from me or inconvenient for me to visit,I feel uncomfortable asking for help.,I feel unwelcome at the sites in my community.",,A vehicle owned by you or a household member,Fair,Some months,Some months,Some months,Some months,Some months,Yes,7,3,,Enter your age in years:,33,A woman,,Yes,White,Enter zip code (5 digit),37148,,,Enter county,Summer,Grade 12 or GED (High school graduate),"Yes, and my first name and phone number is:",Enma RamÃ­rez 7348924925,,None,,Yes,Yes,1 time,1 time,Sometimes,Rarely,No,No,No,Yes,No,Yes,No,Very little,Somewhat,$500  â€“ $999,Not working/unemployed,A place you rent,,Yes,"Yes, living/staying here",No,No,2 weeks,,,,,,,,,Health care services or health screenings,,dificil,Porque a veces hay limitaciones ,"Healthy and affordable food,Being able to save money and pass it on to my family,Affordable health care,Better jobs that pay well and offer benefits,Quality education and training,Reducing racism and discrimination,Access to local resources that can help me; like food banks, housing programs, and free/low-cost health clinics",,No,,,,,,,,,,,,,,,,,,,,,,,,,other,Hard,-1,None,None,,0,-1,Negative,,,Unknown,other,Neutral,0,None,None,,0,-1,Negative,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/24 6:41,10/12/24 7:11,IP Address,174.212.99.39,100,1803,TRUE,10/12/24 7:11,R_3NvQ1GgOPZKAUcN,,,,,36.1671,-86.7861,qr,ES-ES,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,3,,,No,Sometimes true,Sometimes true,I do not know enough places where I can receive free groceries,,A vehicle owned by you or a household member,Poor,1 or 2 times per year,Some months,Some months,Some months,1 or 2 times per year,No,5,3,1,Enter your age in years:,50,A woman,,Yes,Don't know,Enter zip code (5 digit),37148,,,Enter county,Sumner ,Grades 1 through 8 (Elementary),"Yes, and my first name and phone number is:",Myrna Rodriguez ,,"Diabetes / sugar diabetes / prediabetes,Other",Anemia severa,Yes,Yes,1 time,1 time,Sometimes,Sometimes,Yes,No,Yes,Yes,No,No,No,Very little,Completely,Less than $500,Not working/unemployed,A place you rent,,Don't know,"Yes, living/staying here",No,No,,Yes,,,,,,I did not meet work requirements.,,Health care services or health screenings,,Soy bendecida ,Ay Ãngeles de Dios en mi vida,"Access to local resources that can help me; like food banks, housing programs, and free/low-cost health clinics",,Gracias por preocuparse por nosotros ðŸ™,,,,,,,,,,,,,,,,,,,,,,,,,other,Neutral,0,Medium,"Love,Trust",,0,0,Neutral,,,Unknown,other,Neutral,0,None,None,,0,0,Neutral,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,Neutral,0,None,None,,0,-1,Negative,,,Unknown,,,,,,,,
10/12/24 7:03,10/12/24 7:18,IP Address,174.238.160.25,100,870,TRUE,10/12/24 7:18,R_5psUJkVuPXctHdW,,,,,36.1723,-86.6608,qr,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,12,,,No,Never true,Never true,The site does not have the type of groceries I want or need.,,A vehicle owned by you or a household member,Fair,1 or 2 times per year,Prefer not to answer,Never,1 or 2 times per year,1 or 2 times per year,No,3,No one in the household under age 18,1,Enter your age in years:,54,A woman,,No,White,Enter zip code (5 digit),37148,,,Enter county,Sumner,College 4 years or more (College graduate),"Yes, and my first name and phone number is:",Carol 6155121064,,Heart disease / stroke,,No,No,None,1 time,Rarely,Rarely,No,No,Yes,Yes,No,Yes,Yes,Very little,Completely,"$2,000 â€“ $2,999",Working for pay full-time (more than 30 hours per week),A place you own,,Yes,"Yes, living/staying here",No,No,,No,Yes,,,My income or resources were too high.,,,,"Nutrition education,Cooking lessons",,Stressed,Iâ€™m always worried about my ability to sustain myself as I get older ,"Healthy and affordable food,Being able to save money and pass it on to my family,Affordable health care,Reducing racism and discrimination",,I appreciate the program ,,,,,,,,,,,,,,,,,,,,,,,,,other,Hard,-1,Medium,Frustration,,0,-1,Negative,,,Unknown,other,Neutral,0,High,Fear,,0,-1,Negative,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/24 6:59,10/12/24 7:18,IP Address,174.225.239.132,100,1146,TRUE,10/12/24 7:18,R_6neLsjqtCXpmSi4,,,,,36.0164,-86.5615,qr,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,10,,,No,Sometimes true,Often true,I do not think I am eligible to get free groceries.,,A vehicle owned by you or a household member,Fair,1 or 2 times per year,Some months,Some months,Every month,Never,No,1,Don't know,1,Enter your age in years:,61,A woman,,No,White,Enter zip code (5 digit),37186,,,Enter county,Sunmer,Grade 12 or GED (High school graduate),"Yes, and my first name and phone number is:",615-633-7365,,"Diabetes / sugar diabetes / prediabetes,High blood pressure / hypertension,Heart disease / stroke",,No,No,4 to 5 times,1 time,Sometimes,Rarely,Yes,No,No,Yes,Yes,No,No,Very well,Very little,$500  â€“ $999,Working for pay part-time (less than 30 hours per week),Someone elseâ€™s place,Friendâ€™s,Don't know,"Yes, living/staying here",Yes,No,,No,Yes,,,My income or resources were too high.,,,,Help signing up for food assistance programs like SNAP (food stamps) or WIC,,Fair,I would be better if I had a place of my own,Something else,Place to live,No,,,,,,,,,,,,,,,,,,,,,,,,,other,Neutral,0,None,None,,0,1,Positive,,,Unknown,other,Neutral,0,None,None,,0,-1,Negative,,,Unknown,other,Neutral,0,None,None,,0,0,Neutral,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/24 7:29,10/12/24 7:42,IP Address,172.58.150.167,100,745,TRUE,10/12/24 7:42,R_7CdXKaA7AFGk9HZ,,,,,36.0711,-86.7196,qr,EN,I am 18 years or older and agree to begin the survey,Yes,Enter number of times,12,,,No,Sometimes true,Sometimes true,"It takes too long to wait at the site for free groceries.,The site does not have the type of groceries I want or need.,I feel uncomfortable asking for help.",,A vehicle owned by you or a household member,Fair,Never,Every month,Every month,Never,Never,No,5,3,No one in the household over age 60,Enter your age in years:,34,A woman,,No,White,Enter zip code (5 digit),37066,,,Enter county,Sumner,College 1 year to 3 years (Some college or technical school),"Yes, and my first name and phone number is:",Jessica 9546080867,,Diabetes / sugar diabetes / prediabetes,,No,Yes,None,1 time,Never,Often,Yes,No,No,Yes,Don't know,No,Yes,Not at all,Completely,"$1,000 â€“ $1,999",Not working/unemployed,A place you own,,Yes,"Yes, living/staying here",No,Yes,,No,No,I have not applied because I don't think I am eligible.,,,,,,"Housing/utility assistance or referrals,Health care services or health screenings,Mental health assistance or referrals,Financial planning or budgeting assistance,Help signing up for food assistance programs like SNAP (food stamps) or WIC",,Hectic,Just so much going on,"Healthy and affordable food,Being able to save money and pass it on to my family,Affordable health care,Better jobs that pay well and offer benefits,Quality education and training,Affordable housing in my community",,,,,,,,,,,,,,,,,,,,,,,,,,,other,Neutral,0,None,None,,0,1,Positive,,,Unknown,other,Neutral,0,None,None,,0,0,Neutral,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
