Counties,Total 15-17,Rates 15-17,Total 18-19,Rates 18-19,Total 20-24,Rates 20-24,Total 25-34,Rates 25-34,Total 35-44,Rates 35-44
STATE,"1,192",9.6,"4,064",48.5,"19,527",88.6,"44,981",96.1,"10,758",25.2
ANDERSON,10,7.8,51,61.9,213,109.0,462,100.0,77,17.3
BEDFORD,9,9.7,51,86.9,234,164.0,314,96.1,69,22.7
BENTON,4,15.2,10,60.2,55,145.9,80,99.1,15,17.1
BLEDSOE,2,11.2,11,90.2,39,125.4,59,93.7,5,6.8
BLOUNT,18,7.6,79,51.1,309,84.8,737,95.9,158,20.4
BRADLEY,21,9.7,80,54.1,358,99.4,672,98.5,128,19.4
CAMPBELL,7,10.6,32,74.4,161,155.0,201,86.2,31,13.4
CANNON,6,24.5,7,44.3,54,144.0,92,104.0,13,16.4
CARROLL,6,11.4,18,50.1,87,97.2,141,90.4,23,15.4
CARTER,7,7.9,29,50.3,150,105.8,251,73.5,42,13.2
CHEATHAM,3,3.9,27,56.7,113,112.2,253,100.2,52,19.8
CHESTER,1,2.3,11,35.3,51,68.0,97,95.8,22,20.3
CLAIBORNE,4,7.1,12,31.3,92,93.5,189,96.0,33,18.1
CLAY,-,-,3,*,23,124.3,29,71.3,7,19.0
COCKE,5,8.6,31,81.8,134,144.4,176,84.6,23,11.2
COFFEE,11,10.6,64,98.3,228,150.4,343,97.5,74,21.6
CROCKETT,5,17.9,18,102.9,42,103.2,78,91.4,17,19.8
CUMBERLAND,7,8.6,42,81.2,168,139.3,292,97.4,43,15.5
DAVIDSON,120,10.9,369,45.0,"1,719",65.9,"5,877",81.1,"1,873",39.3
DECATUR,-,-,3,23.4,34,120.6,67,117.5,8,12.1
DEKALB,4,12.2,11,52.4,70,131.8,111,94.9,17,13.8
DICKSON,10,10.7,36,60.7,171,122.3,342,98.4,61,17.8
DYER,13,17.8,24,50.7,148,133.1,220,92.0,39,16.6
FAYETTE,5,8.1,17,41.8,92,92.6,230,101.6,48,21.2
FENTRESS,5,15.3,14,68.0,66,148.3,96,105.3,20,20.1
FRANKLIN,3,3.3,24,37.4,108,64.0,227,103.3,41,17.8
GIBSON,10,10.5,30,49.9,156,116.5,315,102.7,63,20.1
GILES,3,5.5,24,67.0,86,100.8,151,86.1,28,17.7
GRAINGER,2,5.2,14,57.1,100,176.1,108,91.3,11,8.4
GREENE,15,12.5,57,72.1,198,106.1,363,96.1,64,16.0
GRUNDY,5,21.7,9,60.4,57,163.8,72,94.2,17,21.4
HAMBLEN,14,11.2,59,75.4,220,128.3,438,112.4,75,19.5
HAMILTON,47,7.3,189,43.1,891,78.4,"2,483",92.7,626,27.6
HANCOCK,4,*,6,*,22,134.1,41,109.3,9,24.1
HARDEMAN,6,14.6,16,60.6,76,120.8,96,76.7,13,10.2
HARDIN,2,4.7,15,55.4,66,107.5,130,93.5,29,20.0
HAWKINS,12,12.0,44,68.5,164,114.2,244,77.9,42,13.3
HAYWOOD,-,-,10,47.4,65,134.0,88,83.9,19,16.9
HENDERSON,3,5.9,16,50.6,91,126.4,170,100.8,29,16.4
HENRY,6,11.2,15,45.9,101,138.2,155,89.8,26,14.9
