"NUMBER OF BIRTHS WITH AGE-SPECIFIC FERTILITY RATES PER 1,000 FEMALES AGED 25-34, BY RACE,",,,,,,,,,,,,,,,,,,,
"FOR COUNTIES OF TENNESSEE, RESIDENT DATA, 2018",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,TOTAL,,WHITE,,BLACK,,,,TOTAL,,WHITE,,BLACK,,,,,,
COUNTY,NUMBER,RATE,NUMBER,RATE,NUMBER,RATE,,COUNTY,NUMBER,RATE,NUMBER,RATE,NUMBER,RATE,,,,,
,,,,,,,,,,,,,,,,,,,
STATE,"44,981",96.1,"34,863",99.2,"8,265",88.0,,LAKE,33,103.4,28,113.4,5,*,,,,,
ANDERSON,462,100.0,426,101.4,18,93.8,,LAUDERDALE,131,91.5,82,94.3,49,91.4,,,,,
BEDFORD,314,96.1,273,95.5,29,99.7,,LAWRENCE,320,117.8,..,*,..,*,,,,,
BENTON,80,99.1,78,101.4,-,-,,LEWIS,81,117.2,..,*,..,*,,,,,
BLEDSOE,59,93.7,..,*,..,*,,LINCOLN,205,106.0,179,104.5,18,113.2,,,,,
BLOUNT,737,95.9,704,97.8,18,79.6,,LOUDON,264,100.6,..,*,..,*,,,,,
BRADLEY,672,98.5,602,97.7,48,119.4,,MCMINN,294,96.8,273,96.4,15,128.2,,,,,
CAMPBELL,201,86.2,198,86.9,-,-,,MCNAIRY,134,95.3,129,100.9,5,49.0,,,,,
CANNON,92,104.0,92,106.9,-,-,,MACON,161,97.3,..,*,..,*,,,,,
CARROLL,141,90.4,130,92.1,11,97.3,,MADISON,665,102.5,380,107.8,270,98.5,,,,,
CARTER,251,73.5,243,74.0,4,*,,MARION,152,91.2,140,89.6,6,*,,,,,
CHEATHAM,253,100.2,..,*,..,*,,MARSHALL,231,104.7,218,107.8,10,82.6,,,,,
CHESTER,97,95.8,83,95.5,14,121.7,,MAURY,696,104.2,597,106.4,79,93.9,,,,,
CLAIBORNE,189,96.0,..,*,..,*,,MEIGS,54,86.4,54,89.0,-,-,,,,,
CLAY,29,71.3,29,74.9,-,-,,MONROE,225,87.8,..,*,..,*,,,,,
COCKE,176,84.6,..,*,..,*,,MONTGOMERY,"1,958",103.1,"1,469",108.4,403,100.7,,,,,
COFFEE,343,97.5,325,100.3,7,45.2,,MOORE,35,103.6,..,*,..,*,,,,,
CROCKETT,78,91.4,67,94.9,11,88.0,,MORGAN,85,83.7,..,*,..,*,,,,,
CUMBERLAND,292,97.4,..,*,..,*,,OBION,175,100.7,149,100.9,22,100.0,,,,,
DAVIDSON,"5,877",81.1,"3,913",79.4,"1,450",81.0,,OVERTON,129,105.3,..,*,..,*,,,,,
DECATUR,67,117.5,..,*,..,*,,PERRY,53,119.1,52,122.9,-,-,,,,,
DEKALB,111,94.9,110,97.9,-,-,,PICKETT,19,94.1,19,94.1,-,-,,,,,
